fold,accuracy,macro_f1,uar
0,0.6933333333333334,0.6774373239160036,0.7
1,0.7366666666666667,0.7288430198603708,0.734375
2,0.6766666666666666,0.6353819150942406,0.6468750000000001
3,0.6466666666666666,0.6196812975621901,0.6625
4,0.75,0.7668392356431435,0.75390625
