,Neutral,Calm,Happy,Sad,Angry,Fearful,Disgust,Surprised
Neutral,0.6770833333333334,0.28125,0.0,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.0,0.0
Calm,0.08854166666666667,0.8333333333333334,0.03125,0.026041666666666668,0.0,0.015625,0.005208333333333333,0.0
Happy,0.005208333333333333,0.03125,0.8645833333333334,0.041666666666666664,0.0,0.005208333333333333,0.010416666666666666,0.041666666666666664
Sad,0.109375,0.06770833333333333,0.057291666666666664,0.484375,0.036458333333333336,0.09375,0.11458333333333333,0.036458333333333336
Angry,0.005208333333333333,0.0,0.046875,0.0625,0.7291666666666666,0.041666666666666664,0.078125,0.036458333333333336
Fearful,0.015625,0.0,0.041666666666666664,0.08854166666666667,0.08854166666666667,0.6302083333333334,0.036458333333333336,0.09895833333333333
Disgust,0.0,0.010416666666666666,0.005208333333333333,0.052083333333333336,0.057291666666666664,0.020833333333333332,0.8125,0.041666666666666664
Surprised,0.0,0.005208333333333333,0.109375,0.046875,0.052083333333333336,0.15104166666666666,0.08854166666666667,0.546875
