fold,test_actors,accuracy,macro_f1,uar,n_uncertain
0,"2,5,14,15,16",0.73,0.7258071167143283,0.7406250000000001,58
1,"3,6,7,13,18",0.7733333333333333,0.7613678848067312,0.778125,60
2,"10,11,12,19,20",0.7033333333333334,0.6943006076987621,0.7,64
3,"8,17,21,23,24",0.6633333333333333,0.6539640976898325,0.66875,66
4,"1,4,9,22",0.75,0.7613347407570619,0.74609375,42
