,Neutral,Calm,Happy,Sad,Angry,Fearful,Disgust,Surprised
Neutral,11,1,0,4,0,0,0,0
Calm,0,29,1,2,0,0,0,0
Happy,0,3,28,1,0,0,0,0
Sad,0,0,0,25,2,3,1,1
Angry,0,0,0,3,22,1,5,1
Fearful,0,0,0,12,0,17,0,3
Disgust,0,0,0,4,0,0,28,0
Surprised,0,1,0,6,0,2,3,20
