,Neutral,Calm,Happy,Sad,Angry,Fearful,Disgust,Surprised
Neutral,13,6,0,0,0,0,0,1
Calm,1,39,0,0,0,0,0,0
Happy,0,5,34,0,0,0,0,1
Sad,1,11,1,17,0,2,3,5
Angry,3,1,0,1,30,0,1,4
Fearful,0,1,2,4,3,17,2,11
Disgust,0,0,1,2,2,0,32,3
Surprised,0,0,0,2,1,3,5,29
