,Neutral,Calm,Happy,Sad,Angry,Fearful,Disgust,Surprised
Neutral,17,3,0,0,0,0,0,0
Calm,5,23,8,1,0,2,0,1
Happy,0,0,40,0,0,0,0,0
Sad,5,0,1,26,0,5,3,0
Angry,0,0,0,0,37,1,1,1
Fearful,0,0,1,1,3,34,0,1
Disgust,0,0,0,1,0,1,38,0
Surprised,0,0,0,0,1,15,7,17
