,Neutral,Calm,Happy,Sad,Angry,Fearful,Disgust,Surprised
Neutral,15,1,0,0,3,1,0,0
Calm,2,32,2,3,1,0,0,0
Happy,0,7,27,0,3,1,0,2
Sad,4,2,3,8,5,10,4,4
Angry,0,0,0,0,35,0,1,4
Fearful,0,1,1,1,7,23,0,7
Disgust,0,0,0,0,6,0,33,1
Surprised,0,0,0,1,7,6,0,26
