,Neutral,Calm,Happy,Sad,Angry,Fearful,Disgust,Surprised
Neutral,0.7708333333333334,0.11458333333333333,0.0,0.0625,0.03125,0.010416666666666666,0.0,0.010416666666666666
Calm,0.0625,0.8072916666666666,0.06770833333333333,0.041666666666666664,0.005208333333333333,0.010416666666666666,0.0,0.005208333333333333
Happy,0.0,0.08854166666666667,0.8697916666666666,0.005208333333333333,0.015625,0.005208333333333333,0.0,0.015625
Sad,0.078125,0.07291666666666667,0.052083333333333336,0.515625,0.036458333333333336,0.11979166666666667,0.0625,0.0625
Angry,0.015625,0.005208333333333333,0.0,0.046875,0.7864583333333334,0.036458333333333336,0.041666666666666664,0.06770833333333333
Fearful,0.0,0.010416666666666666,0.020833333333333332,0.10416666666666667,0.06770833333333333,0.6354166666666666,0.015625,0.14583333333333334
Disgust,0.0,0.0,0.005208333333333333,0.046875,0.046875,0.010416666666666666,0.8645833333333334,0.026041666666666668
Surprised,0.0,0.03125,0.026041666666666668,0.046875,0.046875,0.19791666666666666,0.09375,0.5572916666666666
