fold,accuracy,macro_f1,uar
0,0.73,0.7258071167143283,0.7406250000000001
1,0.7733333333333333,0.7613678848067312,0.778125
2,0.7033333333333334,0.6943006076987621,0.7
3,0.6633333333333333,0.6539640976898325,0.66875
4,0.75,0.7613347407570619,0.74609375
