,Neutral,Calm,Happy,Sad,Angry,Fearful,Disgust,Surprised
Neutral,18,1,0,0,1,0,0,0
Calm,8,30,2,0,0,0,0,0
Happy,0,0,34,0,0,1,1,4
Sad,7,1,3,4,2,10,9,4
Angry,0,0,0,0,33,3,2,2
Fearful,1,0,4,1,4,22,4,4
Disgust,0,0,0,0,7,0,33,0
Surprised,0,0,4,0,7,7,2,20
