,Neutral,Calm,Happy,Sad,Angry,Fearful,Disgust,Surprised
Neutral,13,1,0,2,0,0,0,0
Calm,0,28,1,3,0,0,0,0
Happy,0,1,27,1,0,0,0,3
Sad,0,0,1,26,3,2,0,0
Angry,0,0,0,2,22,1,3,4
Fearful,0,0,0,10,2,19,0,1
Disgust,0,0,0,6,1,0,25,0
Surprised,0,1,0,6,0,3,2,20
