,Neutral,Calm,Happy,Sad,Angry,Fearful,Disgust,Surprised
Neutral,14,5,0,0,0,1,0,0
Calm,3,29,2,2,0,3,1,0
Happy,0,1,34,5,0,0,0,0
Sad,7,2,0,20,2,3,6,0
Angry,0,0,0,1,33,2,4,0
Fearful,0,0,0,0,5,32,2,1
Disgust,0,0,0,0,0,3,37,0
Surprised,0,0,0,1,0,9,8,22
