fold,test_actors,accuracy,macro_f1,uar,n_uncertain
0,"2,5,14,15,16",0.7266666666666667,0.7183490390378174,0.7375,2
1,"3,6,7,13,18",0.7566666666666667,0.7490594333579934,0.753125,5
2,"10,11,12,19,20",0.7233333333333334,0.7138421197514635,0.721875,2
3,"8,17,21,23,24",0.6466666666666666,0.6391712146716497,0.6531250000000001,6
4,"1,4,9,22",0.7208333333333333,0.7377884183373579,0.72265625,1
