,Neutral,Calm,Happy,Sad,Angry,Fearful,Disgust,Surprised
Neutral,18,0,0,2,0,0,0,0
Calm,5,33,2,0,0,0,0,0
Happy,0,1,38,0,0,1,0,0
Sad,5,1,3,23,1,4,3,0
Angry,0,0,5,6,26,1,2,0
Fearful,3,0,0,1,0,33,0,3
Disgust,0,0,0,1,1,0,32,6
Surprised,0,0,13,1,4,5,2,15
