,Neutral,Calm,Happy,Sad,Angry,Fearful,Disgust,Surprised
Neutral,15,1,0,1,3,0,0,0
Calm,2,24,11,3,0,0,0,0
Happy,0,2,33,1,0,1,0,3
Sad,4,1,2,9,4,9,4,7
Angry,0,0,0,0,36,1,0,3
Fearful,0,0,5,2,4,24,1,4
Disgust,0,0,0,0,8,0,30,2
Surprised,0,0,3,0,7,7,0,23
