,Neutral,Calm,Happy,Sad,Angry,Fearful,Disgust,Surprised
Neutral,12,2,0,2,0,0,0,0
Calm,0,21,5,6,0,0,0,0
Happy,0,0,30,1,0,0,0,1
Sad,0,1,1,24,4,2,0,0
Angry,0,0,0,4,23,0,3,2
Fearful,0,0,0,10,1,20,0,1
Disgust,0,0,0,6,0,0,26,0
Surprised,0,1,0,6,2,4,2,17
