fold,accuracy,macro_f1,uar
0,0.7266666666666667,0.7183490390378174,0.7375
1,0.7566666666666667,0.7490594333579934,0.753125
2,0.7233333333333334,0.7138421197514635,0.721875
3,0.6466666666666666,0.6391712146716497,0.6531250000000001
4,0.7208333333333333,0.7377884183373579,0.72265625
