,Neutral,Calm,Happy,Sad,Angry,Fearful,Disgust,Surprised
Neutral,0.7604166666666666,0.13541666666666666,0.0,0.052083333333333336,0.041666666666666664,0.010416666666666666,0.0,0.0
Calm,0.06770833333333333,0.71875,0.13020833333333334,0.0625,0.0,0.015625,0.005208333333333333,0.0
Happy,0.0,0.046875,0.890625,0.020833333333333332,0.0,0.010416666666666666,0.005208333333333333,0.026041666666666668
Sad,0.078125,0.0625,0.03125,0.5260416666666666,0.0625,0.11458333333333333,0.07291666666666667,0.052083333333333336
Angry,0.015625,0.0,0.026041666666666668,0.057291666666666664,0.796875,0.020833333333333332,0.046875,0.036458333333333336
Fearful,0.020833333333333332,0.0,0.036458333333333336,0.08854166666666667,0.08333333333333333,0.6666666666666666,0.005208333333333333,0.09895833333333333
Disgust,0.0,0.0,0.0,0.046875,0.06770833333333333,0.020833333333333332,0.8177083333333334,0.046875
Surprised,0.0,0.005208333333333333,0.08333333333333333,0.046875,0.078125,0.16666666666666666,0.057291666666666664,0.5625
